onset	duration	sample	value	stage_name
185.6495	37.645	371299	stage_start	pinch_practice
244.797	93.7655	489594	stage_start	pinch_release_static_hand_in_lap_with_taps
256.625	0	513250	middle_press	n/a
256.7	0	513400	middle_release	n/a
258.005	0	516010	index_press	n/a
258.1	0	516200	index_release	n/a
258.96	0	517920	index_press	n/a
259.04	0	518080	index_release	n/a
259.13	0	518260	index_press	n/a
259.21	0	518420	index_release	n/a
260.04	0	520080	index_press	n/a
260.125	0	520250	index_release	n/a
260.215	0	520430	index_press	n/a
260.305	0	520610	index_release	n/a
261.01	0	522020	index_press	n/a
261.1	0	522200	index_release	n/a
261.185	0	522370	index_press	n/a
261.27	0	522540	index_release	n/a
262.455	0	524910	middle_press	n/a
262.525	0	525050	middle_release	n/a
262.695	0	525390	middle_press	n/a
262.785	0	525570	middle_release	n/a
263.535	0	527070	middle_press	n/a
263.68	0	527360	middle_release	n/a
265.04	0	530080	index_press	n/a
265.13	0	530260	index_release	n/a
265.855	0	531710	index_press	n/a
266.925	0	533850	index_release	n/a
267.58	0	535160	middle_press	n/a
267.67	0	535340	middle_release	n/a
268.685	0	537370	index_press	n/a
269.11	0	538220	index_release	n/a
270.4	0	540800	middle_press	n/a
270.485	0	540970	middle_release	n/a
270.595	0	541190	middle_press	n/a
270.66	0	541320	middle_release	n/a
271.68	0	543360	middle_press	n/a
272.61	0	545220	middle_release	n/a
273.325	0	546650	index_press	n/a
273.405	0	546810	index_release	n/a
273.49	0	546980	index_press	n/a
273.57	0	547140	index_release	n/a
274.61	0	549220	middle_press	n/a
275.005	0	550010	middle_release	n/a
275.92	0	551840	middle_press	n/a
276.395	0	552790	middle_release	n/a
277.325	0	554650	middle_press	n/a
277.42	0	554840	middle_release	n/a
278.435	0	556870	index_press	n/a
279.2	0	558400	index_release	n/a
280.1	0	560200	index_press	n/a
280.185	0	560370	index_release	n/a
281.27	0	562540	middle_press	n/a
281.37	0	562740	middle_release	n/a
281.66	0	563320	middle_press	n/a
281.75	0	563500	middle_release	n/a
282.215	0	564430	index_press	n/a
282.3	0	564600	index_release	n/a
282.54	0	565080	index_press	n/a
282.635	0	565270	index_release	n/a
283.545	0	567090	index_press	n/a
283.63	0	567260	index_release	n/a
283.875	0	567750	index_press	n/a
